Age,Gender,Country,treatment,work_interfere,remote_work,mental_health_consequence,phys_health_consequence,mental_vs_physical
30,No binarie/others,Germany,Yes,Sometimes,No,No,No,No
23,M,India,No,N/N,No,No,No,No
34,M,Finland,No,Never,No,No,No,Don't know
55,M,United States,Yes,Sometimes,Yes,Yes,Maybe,No
28,M,Germany,Yes,Rarely,Yes,No,No,Yes
26,M,Uruguay,No,N/N,Yes,No,No,Don't know
28,M,New Zealand,Yes,Sometimes,Yes,No,No,Yes
32,M,United Kingdom,Yes,Sometimes,No,No,No,Don't know
28,F,United States,Yes,Rarely,No,Maybe,No,Don't know
21,M,United States,No,Sometimes,No,No,No,Yes
24,M,United States,Yes,Sometimes,No,Yes,No,No
26,F,United States,No,N/N,No,Maybe,No,Don't know
23,M,United States,No,N/N,No,No,No,Don't know
24,F,United States,No,N/N,No,No,No,Yes
28,M,Canada,No,Never,Yes,Maybe,No,Yes
24,F,United States,Yes,Rarely,No,Yes,No,Yes
33,M,United States,Yes,Often,Yes,Yes,Maybe,Don't know
34,M,United States,No,Sometimes,No,Maybe,No,Don't know
27,F,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
28,M,United States,No,Never,No,No,No,Don't know
26,M,United States,No,N/N,No,No,No,Don't know
20,M,Australia,No,N/N,Yes,No,No,Don't know
23,F,United States,Yes,Sometimes,No,Maybe,No,Don't know
29,M,United States,Yes,Rarely,Yes,No,No,Yes
26,M,United Kingdom,No,Sometimes,No,Maybe,Maybe,No
36,M,United States,No,Rarely,Yes,Maybe,No,Don't know
41,M,United States,Yes,Sometimes,No,Maybe,No,Yes
33,F,United States,No,N/N,Yes,No,No,Yes
23,M,Canada,Yes,Sometimes,No,No,No,Yes
39,M,United States,No,Often,No,Yes,No,No
34,M,United States,No,N/N,No,Maybe,No,Don't know
26,F,United States,Yes,Sometimes,No,Yes,Maybe,No
24,M,United States,Yes,Rarely,No,No,No,Don't know
37,M,Canada,Yes,Rarely,No,Maybe,Maybe,Don't know
43,M,United States,Yes,Often,Yes,No,No,Yes
40,No binarie/others,United States,No,Never,No,Yes,Maybe,Yes
30,M,United States,Yes,Often,No,Yes,No,No
34,M,United States,Yes,Sometimes,No,Yes,Yes,Don't know
27,M,United States,Yes,Sometimes,No,Yes,No,Don't know
36,M,United States,No,Sometimes,No,No,No,Don't know
27,M,Brazil,No,Rarely,No,Maybe,No,No
35,M,Netherlands,No,Never,No,Yes,No,Don't know
32,M,United Kingdom,No,Never,No,Maybe,No,Yes
37,M,United States,No,N/N,No,Maybe,Maybe,Don't know
29,M,United Kingdom,No,N/N,No,No,No,Yes
33,F,United States,No,Never,No,Maybe,No,Yes
28,M,United States,No,Sometimes,Yes,Yes,Maybe,Don't know
26,F,United States,No,Never,No,Maybe,Maybe,No
27,M,United States,Yes,Sometimes,Yes,Yes,No,Yes
38,M,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Yes
57,M,United States,Yes,Rarely,No,Maybe,No,No
28,M,United Kingdom,Yes,Sometimes,No,Yes,Maybe,No
26,M,France,No,Never,No,Maybe,No,No
42,F,Netherlands,Yes,Rarely,Yes,Yes,No,Don't know
31,M,United States,Yes,Sometimes,Yes,No,No,Yes
58,M,United States,Yes,Rarely,No,Maybe,No,Yes
29,M,United States,No,Sometimes,No,Yes,No,No
39,F,United Kingdom,Yes,Sometimes,No,Yes,No,No
34,M,United States,No,Sometimes,Yes,Maybe,No,Don't know
57,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
27,M,Germany,Yes,Sometimes,No,Yes,Maybe,No
23,M,Germany,Yes,Often,Yes,No,Maybe,Don't know
18,M,Finland,No,N/N,Yes,Yes,No,Don't know
30,F,United States,No,N/N,No,Maybe,No,Don't know
23,M,United States,No,Never,No,No,No,Yes
43,M,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
18,F,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
29,M,United States,Yes,Rarely,No,Maybe,No,Don't know
48,M,United States,No,Never,No,Maybe,No,Don't know
43,M,Germany,Yes,Sometimes,No,Maybe,No,No
28,F,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
30,M,United States,Yes,Often,Yes,No,No,Yes
26,M,Israel,No,Sometimes,No,Maybe,No,Yes
33,M,Italy,No,Never,No,Maybe,Maybe,No
31,M,United States,No,N/N,No,No,No,Yes
30,M,United States,No,Rarely,No,No,No,Don't know
27,M,Israel,No,N/N,No,Yes,No,No
24,F,United States,Yes,Sometimes,Yes,No,No,Don't know
25,M,United States,No,N/N,No,Maybe,No,Don't know
23,F,United States,Yes,Often,No,Maybe,No,Yes
36,M,United States,Yes,Sometimes,No,Yes,Maybe,No
25,F,United States,Yes,Often,Yes,Yes,No,No
54,M,United Kingdom,Yes,Sometimes,Yes,No,No,No
34,M,Netherlands,No,Rarely,No,No,No,Yes
38,F,United States,Yes,N/N,No,Maybe,Maybe,No
40,M,Ireland,No,N/N,No,Yes,Maybe,No
32,M,United Kingdom,No,N/N,No,No,No,Don't know
25,M,Germany,No,Never,No,No,No,Don't know
35,F,United States,Yes,Sometimes,No,Yes,Maybe,No
46,M,United States,Yes,Sometimes,No,Maybe,No,Yes
42,M,United States,No,Never,No,Maybe,No,No
32,M,United Kingdom,Yes,Sometimes,Yes,No,No,Yes
47,M,United States,Yes,Sometimes,No,No,No,Yes
22,M,United States,No,N/N,No,No,No,Yes
33,F,United States,Yes,Sometimes,Yes,No,No,Don't know
25,F,United States,No,Sometimes,No,Maybe,No,Yes
29,M,United States,No,N/N,No,Maybe,No,Don't know
39,M,United States,No,Never,No,No,No,Yes
38,M,United States,Yes,Sometimes,No,Yes,No,No
43,M,United States,No,N/N,Yes,Maybe,No,Don't know
46,M,United States,Yes,Rarely,Yes,No,No,Yes
38,F,United States,Yes,Sometimes,No,Maybe,No,No
33,M,Germany,Yes,Sometimes,No,Yes,Yes,No
34,M,United Kingdom,Yes,Often,No,Maybe,Maybe,No
62,M,United States,No,Never,No,Maybe,No,Yes
23,F,United States,No,N/N,No,Maybe,Maybe,Don't know
35,M,United States,No,N/N,No,Maybe,Maybe,No
25,M,Bosnia and Herzegovina,No,Rarely,Yes,Maybe,Yes,Don't know
36,M,United States,Yes,Sometimes,Yes,Maybe,No,Yes
41,F,United States,Yes,Rarely,Yes,Maybe,Maybe,Yes
24,M,Austria,No,Sometimes,No,No,No,Yes
51,M,New Zealand,Yes,Sometimes,Yes,Yes,Yes,Don't know
29,M,United States,Yes,Sometimes,No,No,No,Yes
31,F,Canada,Yes,Sometimes,Yes,Maybe,Maybe,Yes
27,M,United Kingdom,No,N/N,No,No,No,Don't know
31,M,Australia,Yes,Rarely,No,No,No,No
27,F,Hungary,No,Sometimes,Yes,Yes,Maybe,No
23,M,Sweden,No,Rarely,No,No,No,Yes
21,M,Canada,No,Never,No,Yes,Maybe,Don't know
27,F,Australia,Yes,Sometimes,No,Yes,No,No
39,M,United States,Yes,Often,Yes,Yes,No,No
26,M,United States,Yes,Never,No,Maybe,No,No
27,M,United Kingdom,No,Never,No,Maybe,Maybe,Don't know
22,F,United States,Yes,Sometimes,No,No,No,No
26,F,United States,Yes,Often,No,Maybe,No,No
31,F,United States,Yes,Rarely,No,No,No,Yes
32,M,United Kingdom,No,Never,No,No,No,Yes
28,F,United States,Yes,Often,Yes,Yes,Yes,No
28,No binarie/others,United Kingdom,Yes,Rarely,No,Yes,Yes,No
23,F,United Kingdom,No,N/N,No,Maybe,No,Yes
30,M,United Kingdom,No,Never,Yes,No,No,Yes
36,M,United States,Yes,Sometimes,No,Yes,No,No
21,M,United States,No,N/N,No,No,No,Yes
30,M,Germany,No,Often,No,Maybe,No,Don't know
25,F,United States,No,N/N,No,Maybe,No,Don't know
32,M,New Zealand,Yes,Sometimes,No,No,No,Don't know
29,F,Canada,Yes,Sometimes,No,Maybe,No,Yes
21,No binarie/others,United Kingdom,Yes,Sometimes,No,Maybe,No,Yes
27,F,New Zealand,Yes,Rarely,Yes,Maybe,Maybe,Don't know
32,F,Canada,Yes,Often,No,Maybe,No,Don't know
34,M,Australia,No,Sometimes,No,No,No,Yes
33,M,United States,No,N/N,No,Yes,No,Don't know
22,M,Netherlands,Yes,Sometimes,Yes,No,No,Yes
24,M,United States,No,N/N,No,Maybe,Maybe,Yes
65,M,United States,No,N/N,Yes,Maybe,No,Yes
27,M,United States,Yes,Sometimes,Yes,No,No,Yes
33,M,Australia,No,Never,No,No,No,Yes
36,M,United States,Yes,Rarely,No,No,No,Don't know
40,M,Canada,No,Never,No,No,No,No
28,M,United States,Yes,Sometimes,No,Maybe,No,No
39,M,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
32,M,United States,Yes,Sometimes,No,No,No,Don't know
31,M,United States,No,Sometimes,No,Maybe,No,No
38,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
23,M,United States,Yes,Rarely,No,Maybe,No,Yes
42,M,United States,Yes,Often,No,Maybe,Maybe,Don't know
27,F,United States,No,Sometimes,No,No,No,Yes
26,F,United States,Yes,Sometimes,No,No,No,No
50,M,United States,No,Never,Yes,No,No,No
37,M,United States,No,Never,No,No,No,Yes
23,M,United States,No,N/N,No,No,No,Don't know
33,M,United States,No,Sometimes,Yes,No,No,Yes
29,M,Canada,No,Never,Yes,Yes,No,No
34,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
41,M,United States,Yes,Often,No,Maybe,Maybe,Don't know
50,M,United States,No,N/N,Yes,No,No,Don't know
29,M,Canada,Yes,Never,No,Maybe,No,Don't know
35,M,United States,No,Never,No,No,No,Yes
27,M,Singapore,No,Sometimes,Yes,Yes,No,No
40,F,United States,No,Never,No,Maybe,Maybe,Don't know
27,M,Australia,Yes,Often,Yes,Maybe,No,No
29,F,United States,No,Never,No,Maybe,No,Don't know
31,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
43,M,United States,Yes,Sometimes,No,No,No,Don't know
34,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
29,M,United States,Yes,Sometimes,No,Yes,No,Don't know
19,M,Canada,Yes,Sometimes,No,Maybe,Maybe,Don't know
41,M,United States,Yes,Sometimes,No,Maybe,No,No
29,M,United States,No,Never,No,No,No,Yes
23,M,United States,No,Rarely,No,No,No,Yes
24,F,United States,Yes,Sometimes,No,Yes,Maybe,No
31,M,United States,No,N/N,Yes,Yes,No,Don't know
43,M,United States,No,N/N,Yes,No,No,Yes
31,M,United States,Yes,Rarely,No,Yes,Yes,No
29,M,United States,No,Often,No,No,No,Don't know
35,M,United States,No,N/N,Yes,No,No,Yes
33,M,United States,Yes,Sometimes,No,Yes,Yes,No
30,No binarie/others,United States,Yes,Often,Yes,No,No,Yes
27,M,United States,No,N/N,No,Maybe,Maybe,No
32,M,United States,No,Sometimes,No,Maybe,Maybe,No
50,M,United States,No,Sometimes,Yes,Yes,Maybe,Don't know
24,M,United States,No,Never,No,Maybe,Yes,No
27,M,United States,No,N/N,No,No,No,Yes
27,M,Australia,No,Never,Yes,Yes,No,Don't know
32,M,United States,Yes,Sometimes,No,No,No,Yes
42,M,United States,No,Rarely,Yes,No,No,Yes
37,M,United States,No,Often,No,Maybe,No,No
30,M,Singapore,No,Sometimes,No,Maybe,No,No
29,M,United States,No,Rarely,No,Yes,Maybe,Don't know
30,M,United States,Yes,Often,Yes,No,No,Yes
35,M,United States,No,Never,No,No,No,Yes
35,M,United States,Yes,Rarely,Yes,Yes,No,No
38,M,Netherlands,No,Often,Yes,Maybe,Maybe,Don't know
22,M,United Kingdom,Yes,Sometimes,No,No,No,Yes
24,M,Germany,No,Sometimes,No,No,No,Don't know
22,M,Netherlands,No,Never,No,No,Maybe,No
31,F,United States,Yes,Often,Yes,Maybe,No,Don't know
23,F,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
31,F,United States,Yes,Sometimes,No,No,No,Don't know
28,F,United States,Yes,Rarely,No,Maybe,No,No
37,No binarie/others,Canada,Yes,Sometimes,No,Yes,Maybe,No
34,M,United States,Yes,Sometimes,No,No,No,No
32,No binarie/others,Canada,No,Sometimes,Yes,Yes,Maybe,No
28,M,United States,Yes,Sometimes,Yes,Yes,No,Don't know
24,F,United Kingdom,Yes,Sometimes,No,Maybe,No,Don't know
56,M,United States,Yes,Rarely,No,Yes,Maybe,Don't know
31,M,Germany,No,Sometimes,Yes,No,No,Yes
34,F,United States,Yes,Sometimes,Yes,Maybe,No,Yes
35,M,Germany,Yes,Rarely,No,No,No,Yes
28,M,Germany,No,Never,No,No,No,Don't know
36,M,Poland,Yes,Often,No,No,No,Yes
30,M,United Kingdom,Yes,Often,No,No,No,Yes
35,M,United States,No,N/N,Yes,No,No,Yes
49,M,Japan,Yes,Sometimes,Yes,Yes,Yes,No
36,M,Germany,No,N/N,No,No,No,Yes
35,M,Germany,No,N/N,No,Maybe,No,Don't know
29,F,Australia,Yes,Sometimes,No,Yes,No,No
57,M,United States,No,Never,No,Yes,Maybe,Don't know
31,F,Belgium,Yes,Rarely,No,Maybe,No,Don't know
37,M,Ireland,No,Never,No,Yes,Maybe,Don't know
25,M,Ireland,Yes,Sometimes,No,Maybe,No,No
30,M,Australia,No,Sometimes,No,No,No,Don't know
26,F,Australia,No,Sometimes,No,No,No,Don't know
22,F,Netherlands,No,Often,No,No,No,Don't know
39,M,United States,No,Rarely,Yes,No,No,Don't know
29,M,United Kingdom,Yes,Never,No,Maybe,Maybe,No
54,M,United Kingdom,Yes,Sometimes,Yes,No,No,Don't know
34,F,Australia,No,Never,No,Yes,Maybe,Don't know
32,M,United States,Yes,Never,No,Maybe,No,Yes
25,M,Nigeria,No,N/N,No,Maybe,No,Don't know
29,M,Poland,No,Rarely,No,No,Maybe,Yes
32,M,Germany,No,Never,Yes,No,No,Don't know
30,M,United Kingdom,Yes,Sometimes,No,Maybe,No,Yes
31,M,Germany,No,N/N,No,No,No,Don't know
20,F,Switzerland,No,Rarely,No,No,No,Yes
27,M,United Kingdom,No,Never,No,No,No,Don't know
32,M,United States,No,Never,No,Maybe,Maybe,Don't know
26,M,Ireland,No,Never,Yes,Maybe,No,Yes
30,M,Italy,No,Sometimes,No,No,No,Don't know
30,M,Ireland,Yes,Sometimes,Yes,Maybe,Maybe,No
22,M,India,No,N/N,Yes,Maybe,Maybe,Yes
24,M,Ireland,No,N/N,No,No,No,Don't know
26,M,Netherlands,No,Never,No,Maybe,Maybe,Don't know
43,M,France,No,N/N,No,No,No,Don't know
26,M,Russia,No,Never,No,No,No,Don't know
23,M,United States,No,Sometimes,No,Maybe,No,Don't know
26,M,Canada,No,N/N,Yes,No,No,Yes
26,F,Israel,No,Never,No,Maybe,No,Yes
35,M,Canada,No,Sometimes,No,Maybe,Maybe,No
28,M,United States,Yes,Sometimes,Yes,No,No,Don't know
22,M,India,No,N/N,No,Maybe,Maybe,Don't know
29,F,United States,Yes,Rarely,No,Yes,No,Don't know
29,M,Germany,No,N/N,No,No,No,Yes
45,M,United States,Yes,Often,Yes,No,No,Yes
33,M,Bulgaria,Yes,Rarely,Yes,Maybe,No,Don't know
38,M,United States,Yes,Sometimes,No,No,No,Don't know
19,No binarie/others,United States,Yes,Often,No,Maybe,Maybe,No
29,F,Canada,Yes,Rarely,Yes,No,No,Don't know
21,F,United Kingdom,No,N/N,No,Yes,Maybe,Don't know
23,F,India,Yes,Sometimes,No,Yes,Maybe,Don't know
33,F,United States,Yes,Rarely,No,No,No,Yes
49,M,United States,Yes,Sometimes,No,Maybe,Maybe,Yes
28,M,United States,No,N/N,Yes,Maybe,No,Don't know
27,F,United Kingdom,Yes,Sometimes,Yes,No,No,Yes
23,M,Canada,Yes,Sometimes,No,Maybe,Maybe,Don't know
29,M,Netherlands,No,Never,Yes,No,No,Yes
30,M,Germany,No,N/N,No,No,No,Don't know
28,F,Canada,No,N/N,No,No,No,Don't know
32,M,United Kingdom,No,N/N,No,Yes,No,No
32,M,United Kingdom,Yes,Sometimes,No,No,No,Yes
37,M,France,No,N/N,No,Maybe,Maybe,No
39,F,United States,No,N/N,Yes,Yes,Maybe,No
31,M,France,No,N/N,No,Maybe,Maybe,Yes
29,M,United States,No,N/N,No,Maybe,Maybe,Don't know
30,M,United States,No,N/N,No,Maybe,No,Don't know
33,M,United States,Yes,Rarely,Yes,No,No,Yes
37,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
23,M,United States,Yes,Often,No,No,No,Yes
43,M,United States,Yes,Sometimes,No,Yes,No,No
32,M,United Kingdom,Yes,Rarely,No,Maybe,No,No
26,M,United States,No,Never,No,Yes,Yes,No
32,M,United States,Yes,Sometimes,Yes,No,No,Don't know
37,F,United States,No,N/N,Yes,Yes,No,Don't know
29,M,United States,Yes,Often,No,No,No,Yes
34,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
27,M,France,No,N/N,No,No,No,Yes
30,M,United States,No,Never,No,No,No,Don't know
29,M,United States,No,Never,No,Maybe,No,No
32,M,United States,Yes,Sometimes,Yes,Yes,Maybe,No
25,M,Germany,No,N/N,No,Maybe,Maybe,Yes
37,M,United States,No,N/N,Yes,No,No,Yes
29,M,Netherlands,No,N/N,No,No,No,Yes
27,M,United States,No,N/N,No,No,No,Don't know
33,M,United Kingdom,No,N/N,No,Maybe,No,Don't know
30,M,Canada,Yes,Sometimes,No,Yes,No,No
29,M,Canada,No,N/N,Yes,Maybe,Maybe,Don't know
25,M,United States,Yes,Never,Yes,Yes,No,No
33,M,United States,Yes,Sometimes,No,No,No,Don't know
31,M,South Africa,No,Never,Yes,No,No,No
21,M,Germany,No,Rarely,Yes,Maybe,Maybe,No
30,M,Switzerland,Yes,Sometimes,No,Yes,Yes,No
29,M,United States,No,N/N,No,No,No,No
43,M,Croatia,Yes,Sometimes,Yes,Yes,No,No
37,M,United Kingdom,Yes,Often,No,Yes,No,No
24,M,France,No,N/N,No,Maybe,No,Don't know
29,M,United States,No,N/N,Yes,No,No,Don't know
31,M,United States,No,N/N,No,No,No,Don't know
33,M,United Kingdom,No,Never,No,No,No,No
43,M,United States,No,N/N,No,No,No,Don't know
33,M,United Kingdom,Yes,Sometimes,No,Maybe,No,Don't know
27,M,United Kingdom,No,N/N,No,Maybe,No,Yes
36,M,United States,Yes,Sometimes,Yes,Yes,Maybe,Don't know
37,M,Australia,Yes,Sometimes,No,No,No,Yes
32,M,Belgium,No,N/N,No,Yes,Maybe,No
39,M,United Kingdom,Yes,Sometimes,No,No,No,Yes
31,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
36,M,United States,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
30,M,United States,Yes,Sometimes,Yes,No,No,Don't know
28,M,Canada,No,N/N,No,No,No,Yes
32,M,Italy,No,N/N,No,Maybe,No,No
35,M,United States,Yes,Rarely,No,No,No,Yes
19,M,Canada,Yes,Sometimes,No,No,No,Don't know
33,M,Norway,No,N/N,No,No,No,Don't know
42,M,Germany,No,N/N,Yes,No,No,Yes
37,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
40,M,Thailand,No,Never,No,No,No,Yes
36,M,United States,No,Never,No,No,No,Yes
29,F,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
38,F,United States,Yes,Sometimes,No,Maybe,No,Don't know
26,M,United States,Yes,Sometimes,No,Yes,Maybe,No
34,M,Germany,No,Rarely,No,Maybe,Maybe,Yes
21,M,United States,Yes,Often,No,Yes,No,No
31,M,Canada,No,Sometimes,Yes,No,No,Yes
37,F,United States,Yes,Rarely,No,Maybe,Maybe,Yes
37,M,Ireland,Yes,Sometimes,No,No,No,Yes
38,M,Ireland,Yes,Sometimes,No,Yes,Yes,No
27,F,United States,Yes,Sometimes,No,Yes,No,No
39,M,Netherlands,No,N/N,No,No,No,Yes
33,F,United States,Yes,Sometimes,No,Maybe,Yes,No
27,M,United Kingdom,No,Never,No,No,No,Don't know
36,F,United States,Yes,Never,Yes,Maybe,Maybe,No
28,M,United Kingdom,No,Never,No,No,No,Don't know
39,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Don't know
33,M,United States,Yes,Sometimes,Yes,Maybe,Maybe,Yes
32,M,United Kingdom,No,N/N,No,Maybe,No,Don't know
28,M,United Kingdom,No,N/N,No,No,No,No
37,M,United Kingdom,Yes,Rarely,No,Yes,No,No
39,M,Canada,Yes,Sometimes,No,Yes,No,No
43,No binarie/others,United States,No,Sometimes,Yes,Maybe,No,No
32,No binarie/others,United Kingdom,Yes,Sometimes,No,No,No,Yes
27,F,United States,No,N/N,No,Maybe,No,Don't know
31,F,United Kingdom,No,N/N,No,No,No,Don't know
43,M,United Kingdom,Yes,Never,No,No,No,Don't know
33,M,United States,Yes,Sometimes,Yes,No,No,Don't know
34,M,United Kingdom,Yes,Sometimes,No,No,No,Yes
33,M,United States,No,N/N,No,No,No,Don't know
25,M,United States,No,N/N,No,No,No,Don't know
25,M,United States,Yes,Sometimes,No,Maybe,No,No
32,M,United Kingdom,No,N/N,No,No,No,No
25,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
37,M,Netherlands,No,N/N,Yes,Maybe,No,Don't know
39,M,Switzerland,Yes,Never,No,No,No,Yes
29,M,United Kingdom,No,Rarely,No,No,No,Don't know
33,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
37,F,United States,Yes,Often,Yes,Yes,No,No
35,F,United States,Yes,Sometimes,No,Yes,Maybe,No
22,F,United States,Yes,Sometimes,No,Yes,Maybe,No
38,M,United States,No,Never,No,Maybe,No,No
32,F,United States,Yes,Often,No,Yes,No,Don't know
28,M,Brazil,No,N/N,No,Maybe,No,No
27,M,Switzerland,No,N/N,No,Maybe,No,No
35,F,United States,Yes,Sometimes,Yes,Maybe,No,Yes
29,M,United States,No,Never,No,Yes,Maybe,Don't know
23,M,United States,Yes,Sometimes,No,No,No,Yes
39,M,United States,No,N/N,Yes,Yes,Maybe,Don't know
30,F,United States,No,N/N,No,No,No,Yes
32,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
28,No binarie/others,United States,Yes,Sometimes,No,Yes,Maybe,No
40,F,United States,Yes,Sometimes,No,Maybe,No,Don't know
36,F,United States,No,N/N,No,No,No,Yes
27,M,United States,No,N/N,Yes,No,No,Yes
41,M,United States,No,Sometimes,No,Maybe,No,No
29,M,United Kingdom,No,Never,No,Maybe,No,Don't know
29,M,United Kingdom,Yes,Sometimes,No,No,No,No
35,M,United States,Yes,Often,No,Yes,No,No
28,M,United States,Yes,Never,Yes,Maybe,Maybe,Don't know
36,F,United Kingdom,No,Sometimes,Yes,Maybe,No,Don't know
39,F,United States,No,Sometimes,No,Yes,No,Don't know
39,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
44,M,United States,Yes,Sometimes,Yes,Yes,Yes,Yes
26,No binarie/others,Germany,Yes,Sometimes,Yes,No,No,Yes
35,M,Denmark,Yes,Often,No,No,No,Yes
40,F,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
35,M,Denmark,Yes,Often,No,No,No,Yes
38,M,United States,No,Never,Yes,Yes,Yes,Don't know
34,M,United States,No,N/N,Yes,No,No,Yes
43,M,United States,No,N/N,No,No,No,Don't know
48,No binarie/others,United States,No,Often,No,Yes,Yes,No
20,M,United States,No,Never,No,No,No,Yes
40,M,United States,No,Sometimes,Yes,Yes,Maybe,Don't know
29,F,United Kingdom,Yes,Rarely,No,Maybe,No,Don't know
35,M,United States,Yes,Sometimes,No,No,No,Yes
29,M,United States,No,Sometimes,Yes,Maybe,No,Yes
40,M,United States,No,Never,No,Maybe,No,Don't know
29,M,Sweden,Yes,Rarely,No,No,No,Yes
29,F,United States,Yes,Rarely,No,No,No,Don't know
34,M,United States,Yes,Sometimes,No,Yes,No,Don't know
44,M,United Kingdom,Yes,Sometimes,No,Maybe,No,No
24,F,United States,Yes,Often,No,No,No,No
47,F,United States,No,N/N,Yes,Yes,Yes,No
43,M,United Kingdom,No,N/N,No,Maybe,No,Don't know
36,M,United States,No,Rarely,No,No,No,No
43,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
